Web Search interest: obama
Worldwide; Sep 2013

Interest over time
Day,obama
2013-09-01,52
2013-09-02,41
2013-09-03,43
2013-09-04,58
2013-09-05,51
2013-09-06,48
2013-09-07,54
2013-09-08,45
2013-09-09,46
2013-09-10,59
2013-09-11,100
2013-09-12,46
2013-09-13,38
2013-09-14,31
2013-09-15,30
2013-09-16,32
2013-09-17,30
2013-09-18,31
2013-09-19,31
2013-09-20,34
2013-09-21, 
2013-09-22, 
2013-09-23, 
2013-09-24, 
2013-09-25, 
2013-09-26, 
2013-09-27, 
2013-09-28, 
2013-09-29, 
2013-09-30, 


Top regions for obama
Region,obama
Sweden,100
United States,68
Kenya,61
Nigeria,32
Canada,23
South Africa,17
Singapore,17
Ireland,15
New Zealand,15
Venezuela,15
Denmark,14
Australia,14
Argentina,14
Norway,13
Switzerland,12
Mexico,12
United Kingdom,11
Italy,11
Germany,11
Peru,11
Philippines,11
Finland,11
Pakistan,10
Chile,10
Belgium,10
Netherlands,10
Austria,9
France,9
Colombia,8
Malaysia,8
India,8
Brazil,8
Spain,7
Vietnam,7
Indonesia,5
Poland,5
Turkey,5
Russia,2


Top cities for obama
City,obama
Stockholm (Sweden),100
Washington (United States),54
New York (United States),39
Chicago (United States),36
Los Angeles (United States),36
Atlanta (United States),33
London (United Kingdom),9



Top searches for obama
obama barack,100
syria,100
obama syria,100
obama speech,55
president obama,50
obama putin,40
obama care,40
putin,40
michelle obama,25
obama news,25
obama on syria,20
obama war,20
obama syria speech,20
obama facebook,15
obama g20,10
obama jackass,10
g20,10
siria obama,10
obama nobel,10
obama address,10
putin obama jackass,10
siria,10
obamacare,10
obama and syria,10
white obama,10
obama health care,10
syria obama news,10
president obama syria,10
obama stockholm,10
obama calls putin,10
obama live,10
president obama speech,10
obama speech today,10
syria news,5
obama russia,5
obama muslim,5
who is obama,5
barak obama,5
obama twitter,5
obama phone,5
president barack obama,5
white house,5
obama red line,5
assad,5
juegos de obama,5
obama scandal,5
obama juegos,5
obama putin g20,5
obama quotes,5
obama peace prize,5



Rising searches for obama
g20,+4,350%
obama g20,+3,800%
obama jackass,+3,050%
obama syria speech,+950%
obama putin,+400%
putin,+350%
obama on syria,+250%
obama syria,+250%
syria,+250%
siria obama,+200%



